,Ingredients,Category
33,참치캔 달걀 양파 잔파 통깨 밥,Japanese
34,생연어 양파 레몬 키위 무순 미니 파프리카 또는 고추,Japanese
35,박력분밀가루 우유 계란 설탕 버터 소금 바닐라익스트랙 과일 또는 생크림 등,Japanese
36,감자 스팸 후추 전분 케찹 스리라차소스,Japanese
37,한우 소고기사태 올리브유 파프리카 양파 다진마늘 애호박 당근 감자 레드와인 데친 완숙토마토 토마토홀 토마토소스 천일염 흑후추,Japanese
38,달걀 파 양파 불고기 소금 가쓰오부시,Japanese
39,가지 홍고추 대파 들기름 깨소금 매실청 다진마늘,Japanese
40,감자 큰것 스팸 전분가루 파마산 치즈가루 후추,Japanese
41,대추토마토 매실청 천일염 밀가루,Japanese
42,계란 다시마 우유 소금 설탕,Japanese
43,감자 큰거 한개 감자 중간 튀김가루 소금,Japanese
44,적양배추 버터 소금 식초 설탕 후춧가루,Japanese
45,달걀 다시마물 새우 당근 맛살 표고버섯 쪽파 또는 부추,Japanese
46,감자 소고기 다짐육 당근 간장 굴소스 다시마육수 다진마늘 맛술 황설탕 식초 참기름 깨 후추,Japanese
47,연어 회 야채 채 썬 양파 날치알 채 썬 마늘 채 썬 김,Japanese
48,계란 우유 밀가루 소금 바닐라익스트랙,Japanese
49,달걀 멸치육수 참기름,Japanese
50,밥 육수 간장 올리고당 설탕 양파 후추 들기름 달갈 노른자,Japanese
51,밥 계란 김밥김 생와사비 슬라이스햄 식용유,Japanese
52,계란 새우젓 우유 청주 설탕,Japanese
53,버섯 소금 후추 바질페스토 발사믹드레싱,Japanese
54,훈제오리 삶은감자 양파 마늘 소금 후추 올리브오일 부추 파마산치즈,Japanese
55,,Japanese
56,양배추 사과 진간장 설탕 올리고당 레몬즙 참기름 플레인요거트,Japanese
57,바나나 설탕 식초 후춧가루 물 수삼 황기,Japanese
58,우동사리 개 베이컨 당근 양배추 대파 식용유 양파 마요네즈 계란 노른자 가쓰오부시 청경채,Japanese
59,톳 당근 식용유 소금 설탕 청주 물 올리고당 간장,Japanese
60,두부 소금 후춧가루 새송이버섯 물엿 맛술 간장 전분가루 식용유 가츠오부시,Japanese
61,연두부 무 다시마 작은것 김 실파 가쓰오부시 물 식용유,Japanese
62,삼겹살 밥 양파 달걀 노른자 쪽파 파 뿌리 생강,Japanese
63,도미 머리 무 청양고추 생강 표고버섯,Japanese
64,양배추 소금 양배추의,Japanese
65,진간장 설탕 소금 미원 홍고추 마늘 생강 정종 미림,Japanese
66,통조림 스위트콘 피망 또는 파프리카 양파 소금 설탕 마요네즈 버터 후추 모짜렐라 파슬리,Japanese
67,옥수수가루 옥수수통조림 굵은소금 달걀 양파 버터 다진마늘 슬라이스치즈 모짜렐라치즈 파슬리가루,Japanese
68,무 간장 설탕 대파 청양고추 물,Japanese
69,무 설탕 간장 대파 청양고추 다진생강 무순 가쓰오부시 물,Japanese
70,파스타면 누들 바질페스토 살라미 햄 파프리카 토마토 양파 작은거 사과 계란 로메인 상추 궈다 치즈 치즈종류 소금 올리브유,Japanese
71,밥 계란 오이 소고기 간장 고춧가루 설탕 통깨 식초,Japanese
72,우동면 새우 당근 고구마 대파 양파 꽃 어묵 실파 생강 생표고버섯 애호박 다시마 가쓰오부시,Japanese
73,현미 밥 게맛살 참치통조림 파프리카 오이 마요네즈 머스터드소스 굵은소금,Japanese
74,당근 오뎅 표고버섯,Japanese
75,계란 소금 가쓰오부시 다시마 조각 소금 일식 계란 간장없으면 일반 간장 칵테일 새우 표고버섯,Japanese
76,마 오이 채 김 밥,Japanese
77,밥 계란 마른김 물,Japanese
78,,Japanese
79,닭고기순살 튀김가루혹은 박력분 다진마늘 다진생강 후추,Japanese
80,달걀 육수 국간장 소금 맛술,Japanese
81,딸기 레몬 식초 설탕,Japanese
82,당근,Japanese
83,사과 레몬즙 식초 파인애플 마늘 양파 미림 물 간장 설탕,Japanese
84,손질한 새우 밥 깨소금 참기름 진간장 식초,Japanese
85,불린쌀 당근 유부 쯔유 참기름 표고버섯 찐어묵 브로컬리 쑥갓,Japanese
86,달걀 혼다시 소금 뜨거운물 찬물 식용유 깨,Japanese
87,설탕 과일,Japanese
88,표고 죽순 편썰어 당근 무 계란 배추 쑥갓 파 다시마 가쓰오부시,Japanese
89,참치 김 생강 고추냉이와사비,Japanese
90,당근,Japanese
91,닭가슴살 타르타르 소스 양배추 달걀 청양고추,Japanese
92,달걀 은행 밤 어묵 새우 표고버섯 쑥갓,Japanese
93,쯔유 물 돈까스 양배추 양파 밥,Japanese
94,잔멸치 또는 건새우 물 맛술 생강가루 설탕 식초 쪽파 또는 채썬파,Japanese
95,밥 김 동치미 무 당근 달걀 우엉 시금치나물 깨소금 참기름 소금 식초 설탕 가쓰오부시 마요네즈,Japanese
96,돼지고기 가지s 잘게 썰은 생강 요리술 설탕,Japanese
97,달걀 흰후추 연유 소금 무순 오이 아보카도 날치알 맛간장 와사비,Japanese
98,계란 소금또는 간장 다시마 우린물,Japanese
99,꽈리고추 홍고추 식용유 황설탕 생강술 다진마늘 식초 소금 후추 물,Japanese
100,어묵 무 당근 쪽파 팽이버섯 표고버섯 계란 곤약,Japanese
101,계란 다진당근 다진부추 가쓰오부시,Japanese
102,치자 계란노른자 얼음물 식용유 양파 대파 참기름 새우 연근 고구마 당근 깻잎,Japanese
103,무 다시마 청양고추 생강 통후추,Japanese
104,동원 꽁치캔 꽈리고추 청양고추 홍고추 생강 통깨 식용유,Japanese
105,계란 다시마 우린물 쑥갓 어묵찐것,Japanese
106,닭 튀김용 식용유 달걀 쪽파 꽃소금 쪽파 송송 썬 것,Japanese
107,식빵 딸기 파인애플 오이,Japanese
108,달걀 마늘쫑 우유 따뜻한물 다시마 까나리액젓 소금 레몬,Japanese
109,계란 물 새우젓국물,Japanese
110,,Japanese
111,,Japanese
112,간돼지고기 밀가루 계란 빵가루 후추 돈까스소스,Japanese
113,,Japanese
114,계란 다시물 밤 은행 잣 어묵,Japanese
115,,Japanese
116,무우 파프리카 당근 대파,Japanese
117,,Japanese
118,통깨 김가루 간장 밥,Japanese
119,,Japanese
