,Ingredients,Category
54,닭다리 진간장 후춧가루 청주 달걀 백설탕 녹말가루 식초 마늘 대파 청피망 홍고추 생강 참기름 식용유 소금,Chinese
55,고구마 식용유 백설탕,Chinese
56,중새우 양상추 원하는 튀김가루 소금 후추,Chinese
57,당면 간돼지고기 고추 개 우엉아래얇은부분빼고 생강 엄지손가락크기,Chinese
58,닭고기 반컵 토마토 계란 소금 후추 파슬리 전분 참기름,Chinese
59,소갈비 대파 고추씨 통후추 무 통마늘 통생강 연잎 불린 당면,Chinese
60,토막낸 새우 다진 양송이 버섯 푼 달걀 전분 물 옥수수콘,Chinese
61,멸치다시물 계란 대파 당근 감자전분 소금 후추,Chinese
62,양파 잔파 베이컨 다진생강 다진마늘 간장 굴소스 스파게티면,Chinese
63,게 랍스타 다리 양파 대파 다진마늘 굴소스 두반장 고춧가루 양조간장 청주맛술 달걀,Chinese
64,참치 두부 애호박 청양고추 소금 물 전분물,Chinese
65,돼지 등심 양파 대파 흰부분 당근 오이 목이버섯,Chinese
66,간장 청주 전분가루 샐러리 전분가루 물,Chinese
67,,Chinese
68,돼지고기 안심 파 생강 마늘과 계란 춘장 죽순  마늘,Chinese
69,새우 큰거 양파 당근 피망 계란 대파 흰부분,Chinese
70,닭고기 오이 캐슈넛 베트남고추 통마늘 대파cm 생강 고추기름,Chinese
71,칵테일 새우 밥 계란 다진파 소금 후추 굴소스 참기름 샐러드채소,Chinese
72,만두 간장 식초 물 간 마늘 쪽파 또는 부추,Chinese
73,냉동만두 양파 대파 다진마늘 물 맛술,Chinese
74,새우냉동 청정원 통후추 청정원 우리밀 튀김가루 물 튀김기름,Chinese
75,돼지고기 앞다리살 호박 가지 당근 양파 풋고추 밥 마늘 생강 채 미림 고추기름 굴소스 후춧가루 올리고당 물녹말 참기름 깨,Chinese
76,미역줄기 맛간장 파프리카 양파 당근 고춧가루 다진마늘 파 생강가루 매실액 설탕 꿀 후추 참기름 통깨,Chinese
77,새우 달걀 흰자 녹말 가루 튀김가루 슬라이스아몬드집에있는 견과류 모두가능 레몬즙 소금,Chinese
78,다진마늘 대파 양배추 팽이버섯 느타리버섯 양파 청양고추 새우 오징어 홍합 맛술,Chinese
79,찬밥 계란 대파 햄 홍고추 코코넛오일,Chinese
80,토마토 오이 양상치 버터 팽이버섯 슬라이스마늘 다진대파 생강,Chinese
81,소고기안심 양파 다진파 소주 간장,Chinese
82,냉동새우 굴소스 각종채소 전분물 식용유 참기름 찬밥,Chinese
83,삼겹살또는 닭고기 양파 애호박 청양고추 마늘다져서 대파흰부분 송이버섯생략가능,Chinese
84,밥 달걀 대파 청양초 당근 깻잎생략가능,Chinese
85,,Chinese
86,,Chinese
87,,Chinese
88,,Chinese
89,,Chinese
90,,Chinese
